Date,BOGMAS,BTC-USD,BOGMAS_Chg%,BTC-USD_Chg%
01/11/2014,3830400,378.046997,-0.042758965,0.117420974
01/12/2014,3934500,320.192993,0.027177318,-0.153033894
01/01/2015,4017100,217.464005,0.020993773,-0.320834591
01/02/2015,3840500,254.263,-0.043962062,0.169218786
01/03/2015,4030600,244.223999,0.049498763,-0.039482744
01/04/2015,4059400,236.145004,0.007145338,-0.033080267
01/05/2015,3949400,230.190002,-0.027097601,-0.025217565
01/06/2015,3919600,263.071991,-0.00754545,0.142847164
01/07/2015,3961200,284.649994,0.010613328,0.082023187
01/08/2015,3984000,230.056,0.005755832,-0.191793413
01/09/2015,4028500,236.059998,0.011169679,0.026097985
01/10/2015,4060500,314.165985,0.007943403,0.330873454
01/11/2015,4006700,377.321014,-0.0132496,0.201024401
01/12/2015,3835800,430.566986,-0.042653555,0.14111584
01/01/2016,3792700,368.766998,-0.011236248,-0.143531646
01/02/2016,3872500,437.696991,0.02104042,0.186920178
01/03/2016,3898400,416.729004,0.006688186,-0.047905257
01/04/2016,3872900,448.317993,-0.006541145,0.075802233
01/05/2016,3836500,531.385986,-0.009398642,0.185288109
01/06/2016,3825500,673.336975,-0.002867197,0.267133483
01/07/2016,3772500,624.68103,-0.013854398,-0.072260914
01/08/2016,3816700,575.471985,0.011716368,-0.078774675
01/09/2016,3735900,609.734985,-0.021170121,0.059538954
01/10/2016,3572100,700.971985,-0.043844857,0.149633861
01/11/2016,3629800,745.690979,0.016152963,0.063795694
01/12/2016,3531600,963.742981,-0.027053832,0.292416038
01/01/2017,3595500,970.403015,0.018093782,0.006910591
01/02/2017,3746400,1179.969971,0.041969128,0.215958682
01/03/2017,3856300,1071.790039,0.029334828,-0.091680242
01/04/2017,3821700,1347.890015,-0.008972331,0.257606402
01/05/2017,3774400,2286.409912,-0.012376691,0.696288189
01/06/2017,3762800,2480.840088,-0.003073336,0.085037322
01/07/2017,3795400,2875.340088,0.008663761,0.159018714
01/08/2017,3910000,4703.390137,0.030194446,0.635768289
01/09/2017,3874500,4338.709961,-0.009079284,-0.0775356
01/10/2017,3829900,6468.399902,-0.011511163,0.490857873
01/11/2017,3907700,10233.59961,0.020313846,0.582091362
01/12/2017,3851000,14156.40039,-0.014509814,0.383325607
01/01/2018,3824800,10221.09961,-0.006803428,-0.277987389
01/02/2018,3855100,10397.90039,0.007921983,0.017297628
01/03/2018,3800600,6973.529785,-0.014137117,-0.329332892
01/04/2018,3727100,9240.549805,-0.019339052,0.325089315
01/05/2018,3674800,7494.169922,-0.014032358,-0.188990906
01/06/2018,3650500,6404,-0.006612605,-0.145469069
