Date,DJI,DJI Chg,DJI Chg Cat,VIX,VIX-1wk,VIX-1wk Chg,EPU,EPU-1wk,EPU-1wk CHg
03/02/1992,"3,225.40",0.000620463,1,18.2,18.56,0.01978022,204.43,197.85,-0.032187057
10/02/1992,"3,246.00",0.006386805,1,18.56,17.03,-0.082435345,197.85,253.4,0.280768259
17/02/1992,"3,280.20",0.010536044,1,17.03,17.13,0.005871991,253.4,165.98,-0.344988161
24/02/1992,"3,267.70",-0.003810743,0,17.13,16.88,-0.014594279,165.98,231.77,0.396373057
02/03/1992,"3,221.60",-0.014107782,0,16.88,19.68,0.165876777,231.77,186.02,-0.197393968
09/03/1992,"3,235.90",0.004438788,1,19.68,18.46,-0.06199187,186.02,93.25,-0.498709816
16/03/1992,"3,276.40",0.012515838,1,18.46,16.73,-0.093716143,93.25,82.37,-0.116675603
23/03/1992,"3,231.40",-0.013734587,0,16.73,15.97,-0.045427376,82.37,59.58,-0.276678402
30/03/1992,"3,249.10",0.005477502,1,15.97,16.72,0.046963056,59.58,116.33,0.952500839
06/04/1992,"3,255.40",0.001938998,1,16.72,16.99,0.016148325,116.33,105.93,-0.089400842
13/04/1992,"3,366.50",0.034127911,1,16.99,15.93,-0.062389641,105.93,123.26,0.163598603
20/04/1992,"3,324.50",-0.012475865,0,15.93,16.49,0.035153798,123.26,160.5,0.302125588
27/04/1992,"3,336.10",0.003489247,1,16.49,16.92,0.02607641,160.5,127.4,-0.20623053
04/05/1992,"3,369.40",0.009981715,1,16.92,15.17,-0.103427896,127.4,127.16,-0.00188383
11/05/1992,"3,353.10",-0.004837657,0,15.17,14.62,-0.036255768,127.16,95.24,-0.251022334
18/05/1992,"3,386.80",0.010050401,1,14.62,13.73,-0.060875513,95.24,147.53,0.549034019
25/05/1992,"3,396.90",0.002982166,1,13.73,14.43,0.050983248,147.53,182.67,0.238188843
01/06/1992,"3,398.70",0.000529895,1,14.43,15.19,0.052668053,182.67,88.1,-0.517709531
08/06/1992,"3,354.40",-0.013034396,0,15.19,14.76,-0.028308097,88.1,137.17,0.556980704
15/06/1992,"3,285.40",-0.020569998,0,14.76,16.66,0.128726287,137.17,99.87,-0.271925348
22/06/1992,"3,282.40",-0.000913131,0,16.66,13.21,-0.207082833,99.87,102.33,0.024632022
29/06/1992,"3,330.30",0.014592981,1,13.21,14.87,0.125662377,102.33,133.19,0.301573341
06/07/1992,"3,330.60",9.0082E-05,1,14.87,14.01,-0.057834566,133.19,149.85,0.125084466
13/07/1992,"3,331.60",0.000300246,1,14.01,12.66,-0.096359743,149.85,176.03,0.174708041
20/07/1992,"3,285.70",-0.013777164,0,12.66,13.9,0.097946288,176.03,219.26,0.245583139
27/07/1992,"3,393.80",0.032900143,1,13.9,13.83,-0.005035971,219.26,108,-0.507434097
03/08/1992,"3,332.20",-0.018150745,0,13.83,14.51,0.049168474,108,36.66,-0.660555556
10/08/1992,"3,328.90",-0.000990337,0,14.51,14.61,0.006891799,36.66,301.1,7.213311511
17/08/1992,"3,254.10",-0.022469885,0,14.61,16.19,0.108145106,301.1,170.06,-0.435204251
24/08/1992,"3,267.60",0.004148613,1,16.19,13.58,-0.161210624,170.06,114.86,-0.324591321
31/08/1992,"3,281.90",0.004376301,1,13.58,12.98,-0.044182622,114.86,287.22,1.500609438
07/09/1992,"3,305.70",0.007251897,1,12.98,13,0.001540832,287.22,133.41,-0.535512847
14/09/1992,"3,327.10",0.006473667,1,13,13.45,0.034615385,133.41,398.32,1.985683232
21/09/1992,"3,250.30",-0.023083166,0,13.45,15.19,0.12936803,398.32,163.45,-0.589651536
28/09/1992,"3,200.60",-0.015290896,0,15.19,20.01,0.317314022,163.45,302.8,0.852554298
05/10/1992,"3,136.60",-0.019996251,0,20.01,19.49,-0.025987006,302.8,198.91,-0.343097754
12/10/1992,"3,174.40",0.012051266,1,19.49,17.31,-0.111852232,198.91,175.65,-0.116937308
19/10/1992,"3,207.60",0.010458669,1,17.31,16.32,-0.057192374,175.65,148.85,-0.152576146
26/10/1992,"3,226.30",0.005829904,1,16.32,16.67,0.021446078,148.85,238.8,0.604299631
02/11/1992,"3,240.10",0.004277346,1,16.67,14.23,-0.146370726,238.8,154.97,-0.351046901
09/11/1992,"3,233.00",-0.00219129,0,14.23,14.86,0.044272663,154.97,164.96,0.06446409
16/11/1992,"3,227.40",-0.001732137,0,14.86,13.4,-0.098250336,164.96,47.3,-0.713263822
23/11/1992,"3,282.20",0.016979612,1,13.4,13.01,-0.029104478,47.3,61.29,0.29577167
30/11/1992,"3,288.70",0.001980379,1,13.01,12,-0.07763259,61.29,90.49,0.47642356
07/12/1992,"3,304.10",0.004682701,1,12,12.66,0.055,90.49,176.86,0.954470107
14/12/1992,"3,313.30",0.002784419,1,12.66,11.65,-0.079778831,176.86,129.28,-0.269026349
21/12/1992,"3,326.20",0.003893399,1,11.65,12.22,0.048927039,129.28,161.11,0.246209777
28/12/1992,"3,301.11",-0.007543142,0,12.22,13.36,0.093289689,161.11,300.77,0.866861151
04/01/1993,"3,251.70",-0.014967693,0,13.36,12.86,-0.03742515,300.77,120.49,-0.599394886
11/01/1993,"3,271.10",0.00596611,1,12.86,11.49,-0.106531882,120.49,105.76,-0.122250809
18/01/1993,"3,256.80",-0.004371618,0,11.49,11.38,-0.009573542,105.76,92.91,-0.121501513
25/01/1993,"3,310.00",0.016335053,1,11.38,12.33,0.083479789,92.91,150.75,0.62253794
01/02/1993,"3,442.10",0.039909366,1,12.33,13.22,0.072181671,150.75,79.99,-0.469386401
08/02/1993,"3,392.43",-0.014430144,0,13.22,12.38,-0.063540091,79.99,82.85,0.035754469
15/02/1993,"3,322.18",-0.02070787,0,12.38,14.7,0.187399031,82.85,253.37,2.058177429
22/02/1993,"3,370.81",0.014637979,1,14.7,13.6,-0.074829932,253.37,180.94,-0.285866519
01/03/1993,"3,404.58",0.010018364,1,13.6,16.22,0.192647059,180.94,145.14,-0.197855643
08/03/1993,"3,427.82",0.006826099,1,16.22,14.74,-0.091245376,145.14,136.71,-0.058081852
15/03/1993,"3,471.58",0.012766131,1,14.74,13.66,-0.073270014,136.71,218.26,0.596518177
22/03/1993,"3,439.98",-0.009102484,0,13.66,12.63,-0.075402635,218.26,360.09,0.649821314
29/03/1993,"3,370.81",-0.020107675,0,12.63,14.12,0.11797308,360.09,181.66,-0.49551501
05/04/1993,"3,396.48",0.00761538,1,14.12,11.93,-0.15509915,181.66,120.76,-0.33524166
12/04/1993,"3,478.61",0.024180917,1,11.93,12.06,0.010896899,120.76,104.61,-0.133736337
19/04/1993,"3,413.77",-0.018639629,0,12.06,15.25,0.264510779,104.61,111.78,0.068540293
26/04/1993,"3,427.55",0.004036593,1,15.25,12.9,-0.154098361,111.78,91.55,-0.180980497
03/05/1993,"3,437.19",0.002812505,1,12.9,13.72,0.063565891,91.55,135.52,0.480283998
10/05/1993,"3,443.01",0.001693244,1,13.72,14.13,0.029883382,135.52,148.53,0.09600059
17/05/1993,"3,492.83",0.014469897,1,14.13,14.1,-0.002123142,148.53,129.82,-0.125967818
24/05/1993,"3,527.43",0.009906007,1,14.1,13.47,-0.044680851,129.82,234.33,0.805037745
31/05/1993,"3,545.14",0.005020652,1,13.47,14.07,0.04454343,234.33,137.69,-0.412409849
07/06/1993,"3,505.01",-0.011319722,0,14.07,12.33,-0.123667377,137.69,82.71,-0.399302782
14/06/1993,"3,494.77",-0.002921532,0,12.33,12.25,-0.00648824,82.71,83.53,0.009914158
21/06/1993,"3,490.89",-0.00111023,0,12.25,11.11,-0.093061224,83.53,96.36,0.15359751
28/06/1993,"3,483.97",-0.001982303,0,11.11,11.33,0.01980198,96.36,209.18,1.170817767
05/07/1993,"3,521.06",0.010645901,1,11.33,10.85,-0.042365402,209.18,106.4,-0.491347165
12/07/1993,"3,528.29",0.002053359,1,10.85,11.46,0.056221198,106.4,208.99,0.964191729
19/07/1993,"3,546.74",0.005229162,1,11.46,11.32,-0.012216405,208.99,96.26,-0.539403799
26/07/1993,"3,539.47",-0.00204977,0,11.32,11.47,0.013250883,96.26,169.27,0.758466653
02/08/1993,"3,560.43",0.005921791,1,11.47,12.39,0.080209241,169.27,157.89,-0.067229869
09/08/1993,"3,569.65",0.002589575,1,12.39,12.01,-0.030669895,157.89,93.94,-0.405028818
16/08/1993,"3,615.48",0.012838794,1,12.01,12.15,0.011656953,93.94,107.29,0.142111986
23/08/1993,"3,640.63",0.006956199,1,12.15,11.74,-0.033744856,107.29,141.91,0.322676857
30/08/1993,"3,633.93",-0.001840341,0,11.74,11.16,-0.049403748,141.91,243.31,0.714537383
06/09/1993,"3,621.63",-0.003384765,0,11.16,12.16,0.089605735,243.31,125.39,-0.484649213
13/09/1993,"3,613.25",-0.002313875,0,12.16,14.6,0.200657895,125.39,114.19,-0.089321317
20/09/1993,"3,543.11",-0.019411887,0,14.6,12.49,-0.144520548,114.19,149.58,0.30992206
27/09/1993,"3,581.11",0.010725041,1,12.49,12.85,0.028823058,149.58,44.52,-0.702366627
04/10/1993,"3,584.74",0.001013652,1,12.85,12.26,-0.045914397,44.52,66.4,0.49146451
11/10/1993,"3,629.73",0.012550422,1,12.26,11.33,-0.075856444,66.4,88.39,0.331174699
18/10/1993,"3,649.30",0.005391586,1,11.33,11.83,0.044130627,88.39,66.01,-0.253196063
25/10/1993,"3,680.59",0.008574247,1,11.83,11.78,-0.004226543,66.01,108.76,0.647629147
01/11/1993,"3,643.43",-0.010096207,0,11.78,14.31,0.214770798,108.76,164.57,0.513148216
08/11/1993,"3,684.50",0.011272345,1,14.31,14.46,0.01048218,164.57,76.55,-0.534848393
15/11/1993,"3,694.01",0.002581083,1,14.46,15.9,0.099585062,76.55,118.92,0.553494448
22/11/1993,"3,683.95",-0.002723328,0,15.9,14.12,-0.111949686,118.92,23.24,-0.804574504
29/11/1993,"3,704.07",0.005461529,1,14.12,12.84,-0.090651558,23.24,73.6,2.166953528
06/12/1993,"3,740.67",0.009881023,1,12.84,10.98,-0.144859813,73.6,77.25,0.049592391
13/12/1993,"3,751.57",0.002913916,1,10.98,10.75,-0.020947177,77.25,79.06,0.023430421
20/12/1993,"3,757.72",0.001639314,1,10.75,9.7,-0.097674419,79.06,160.06,1.024538325
27/12/1993,"3,754.09",-0.000966011,0,9.7,12.57,0.295876289,160.06,94.09,-0.412157941
03/01/1994,"3,820.77",0.017761961,1,12.57,10.74,-0.145584726,94.09,126.46,0.344032309
10/01/1994,"3,867.20",0.012152001,1,10.74,11.88,0.106145251,126.46,79.93,-0.367942432
17/01/1994,"3,914.48",0.0122259,1,11.88,11.6,-0.023569024,79.93,46,-0.424496434
24/01/1994,"3,945.43",0.007906542,1,11.6,10.63,-0.08362069,46,88.68,0.927826087
31/01/1994,"3,871.42",-0.018758412,0,10.63,13.96,0.313264346,88.68,164.57,0.855773568
07/02/1994,"3,894.78",0.006033962,1,13.96,14.28,0.022922636,164.57,96.64,-0.41277268
14/02/1994,"3,887.46",-0.001879439,0,14.28,14.7,0.029411765,96.64,99.12,0.025662252
21/02/1994,"3,838.78",-0.012522315,0,14.7,14.87,0.011564626,99.12,106.63,0.075766747
28/02/1994,"3,832.30",-0.001688036,0,14.87,14.26,-0.041022192,106.63,41.64,-0.609490762
07/03/1994,"3,862.70",0.007932573,1,14.26,16.61,0.164796634,41.64,95,1.281460134
14/03/1994,"3,895.65",0.008530303,1,16.61,14.34,-0.13666466,95,141.18,0.486105263
21/03/1994,"3,774.73",-0.031039749,0,14.34,14.9,0.039051604,141.18,123.35,-0.126292676
28/03/1994,"3,635.96",-0.036762894,0,14.9,23.87,0.602013423,123.35,489.12,2.965301986
04/04/1994,"3,674.26",0.010533669,1,23.87,16.61,-0.304147465,489.12,132.14,-0.729841348
11/04/1994,"3,661.47",-0.003480973,0,16.61,17.22,0.036724865,132.14,76.88,-0.418192826
18/04/1994,"3,648.68",-0.003493133,0,17.22,14.26,-0.171893148,76.88,135.53,0.762877211
25/04/1994,"3,681.69",0.009047107,1,14.26,14.11,-0.010518934,135.53,62.92,-0.535748543
02/05/1994,"3,669.50",-0.003310979,0,14.11,16.16,0.14528703,62.92,43.37,-0.310712015
09/05/1994,"3,659.68",-0.002676114,0,16.16,14.67,-0.09220297,43.37,157.23,2.625317039
16/05/1994,"3,766.35",0.029147357,1,14.67,13.49,-0.080436264,157.23,98.1,-0.376073268
23/05/1994,"3,757.14",-0.002445338,0,13.49,12.49,-0.074128984,98.1,50.82,-0.481957187
30/05/1994,"3,772.22",0.004013691,1,12.49,13.03,0.043234588,50.82,32.97,-0.351239669
06/06/1994,"3,773.45",0.000326068,1,13.03,11.92,-0.085188028,32.97,108.46,2.289657264
13/06/1994,"3,776.78",0.000882482,1,11.92,13.96,0.17114094,108.46,108.78,0.002950396
20/06/1994,"3,636.94",-0.03702625,0,13.96,15.53,0.112464183,108.78,75.81,-0.303088803
27/06/1994,"3,646.65",0.002669827,1,15.53,14.36,-0.075338055,75.81,134.94,0.779976256
04/07/1994,"3,709.14",0.017136276,1,14.36,13.83,-0.036908078,134.94,258,0.911960871
11/07/1994,"3,753.81",0.012043223,1,13.83,11.44,-0.172812726,258,66.59,-0.741899225
18/07/1994,"3,735.04",-0.005000253,0,11.44,11.46,0.001748252,66.59,65.67,-0.013815888
25/07/1994,"3,764.50",0.007887466,1,11.46,11.17,-0.02530541,65.67,54.78,-0.165829146
01/08/1994,"3,747.02",-0.004643379,0,11.17,12.41,0.111011638,54.78,99.4,0.814530851
08/08/1994,"3,768.71",0.0057886,1,12.41,12.06,-0.028203062,99.4,76.77,-0.227665996
15/08/1994,"3,755.11",-0.003608662,0,12.06,12.62,0.046434494,76.77,220.28,1.869350007
22/08/1994,"3,881.05",0.033538298,1,12.62,11.82,-0.063391442,220.28,45.59,-0.793036136
29/08/1994,"3,885.58",0.00116721,1,11.82,11.4,-0.035532995,45.59,175.96,2.859618337
05/09/1994,"3,874.81",-0.002771787,0,11.4,14.01,0.228947368,175.96,62.11,-0.64702205
12/09/1994,"3,933.35",0.015107838,1,14.01,13.06,-0.067808708,62.11,210.22,2.384640155
19/09/1994,"3,831.75",-0.025830399,0,13.06,14.56,0.114854518,210.22,146.3,-0.304062411
