Date,Open,High,Low,Close*,Adj Close**,Volume
27/01/1992,"3,244.90","3,255.37","3,222.72","3,223.40","3,223.40","20,610,000"
03/02/1992,"3,223.40","3,282.20","3,207.96","3,225.40","3,225.40","112,340,000"
10/02/1992,"3,225.40","3,286.00","3,221.82","3,246.00","3,246.00","104,540,000"
17/02/1992,"3,246.00","3,286.67","3,215.34","3,280.20","3,280.20","97,580,000"
24/02/1992,"3,280.20","3,293.38","3,240.38","3,267.70","3,267.70","96,690,000"
02/03/1992,"3,267.70","3,299.64","3,213.77","3,221.60","3,221.60","96,220,000"
09/03/1992,"3,221.60","3,248.21","3,188.28","3,235.90","3,235.90","89,380,000"
16/03/1992,"3,235.90","3,277.28","3,208.41","3,276.40","3,276.40","96,770,000"
23/03/1992,"3,275.90","3,284.44","3,226.52","3,231.40","3,231.40","92,290,000"
30/03/1992,"3,231.40","3,260.73","3,211.31","3,249.10","3,249.10","86,760,000"
06/04/1992,"3,249.30","3,279.29","3,161.23","3,255.40","3,255.40","115,450,000"
13/04/1992,"3,255.40","3,366.50","3,248.43","3,366.50","3,366.50","92,570,000"
20/04/1992,"3,365.60","3,365.61","3,315.52","3,324.50","3,324.50","106,560,000"
27/04/1992,"3,324.00","3,362.03","3,283.99","3,336.10","3,336.10","104,090,000"
04/05/1992,"3,336.10","3,387.52","3,335.87","3,369.40","3,369.40","86,830,000"
11/05/1992,"3,369.40","3,440.67","3,346.00","3,353.10","3,353.10","87,560,000"
18/05/1992,"3,353.10","3,440.19","3,353.09","3,386.80","3,386.80","107,020,000"
25/05/1992,"3,386.80","3,420.21","3,356.44","3,396.90","3,396.90","87,450,000"
01/06/1992,"3,396.90","3,422.28","3,373.03","3,398.70","3,398.70","114,450,000"
08/06/1992,"3,398.70","3,405.43","3,323.78","3,354.40","3,354.40","99,340,000"
15/06/1992,"3,354.40","3,367.20","3,269.03","3,285.40","3,285.40","116,900,000"
22/06/1992,"3,285.40","3,304.08","3,254.05","3,282.40","3,282.40","108,910,000"
29/06/1992,"3,282.70","3,373.89","3,282.68","3,330.30","3,330.30","84,440,000"
06/07/1992,"3,330.30","3,352.71","3,273.56","3,330.60","3,330.60","111,100,000"
13/07/1992,"3,330.60","3,364.33","3,317.05","3,331.60","3,331.60","98,220,000"
20/07/1992,"3,331.10","3,331.10","3,266.53","3,285.70","3,285.70","91,040,000"
27/07/1992,"3,285.70","3,402.96","3,282.20","3,393.80","3,393.80","100,730,000"
03/08/1992,"3,393.80","3,399.99","3,331.37","3,332.20","3,332.20","95,800,000"
10/08/1992,"3,332.20","3,342.18","3,306.79","3,328.90","3,328.90","84,360,000"
17/08/1992,"3,328.90","3,338.93","3,254.10","3,254.10","3,254.10","77,510,000"
24/08/1992,"3,254.10","3,273.02","3,207.10","3,267.60","3,267.60","92,910,000"
31/08/1992,"3,267.60","3,313.54","3,254.10","3,281.90","3,281.90","83,620,000"
07/09/1992,"3,281.90","3,317.32","3,257.62","3,305.70","3,305.70","74,100,000"
14/09/1992,"3,306.80","3,376.49","3,306.79","3,327.10","3,327.10","122,930,000"
21/09/1992,"3,327.10","3,327.84","3,244.84","3,250.30","3,250.30","109,130,000"
28/09/1992,"3,250.30","3,280.85","3,198.72","3,200.60","3,200.60","101,280,000"
05/10/1992,"3,200.60","3,200.61","3,095.79","3,136.60","3,136.60","118,910,000"
12/10/1992,"3,136.60","3,217.09","3,136.31","3,174.40","3,174.40","126,470,000"
19/10/1992,"3,174.40","3,215.20","3,169.00","3,207.60","3,207.60","126,940,000"
26/10/1992,"3,207.60","3,254.91","3,205.20","3,226.30","3,226.30","116,750,000"
02/11/1992,"3,226.30","3,268.15","3,215.20","3,240.10","3,240.10","120,400,000"
09/11/1992,"3,240.10","3,259.78","3,219.25","3,233.00","3,233.00","106,170,000"
16/11/1992,"3,233.00","3,233.03","3,184.67","3,227.40","3,227.40","115,470,000"
23/11/1992,"3,227.40","3,296.25","3,214.66","3,282.20","3,282.20","87,240,000"
30/11/1992,"3,282.70","3,308.41","3,268.96","3,288.70","3,288.70","120,780,000"
07/12/1992,"3,289.00","3,335.69","3,288.95","3,304.10","3,304.10","105,170,000"
