DATE,US_EPU_Weekly,NASDAQ,VIX,EPU_Chg%,NAS_Chg%,VIX_Chg%
08/01/1990,126.54,439.700012,24.639999,-0.567088608,-0.040375381,0.225260953
15/01/1990,64.57,440.899994,22.5,-0.489726569,0.002729092,-0.086850612
22/01/1990,108.89,421.299988,26.280001,0.686386867,-0.044454539,0.168000044
29/01/1990,196.57,422.200012,24.32,0.805216273,0.002136302,-0.074581466
05/02/1990,123.05,428.799988,23.690001,-0.374014346,0.015632344,-0.025904564
12/02/1990,212.37,429,20.780001,0.725883787,0.000466446,-0.122836635
19/02/1990,144.38,419.5,23.690001,-0.320148797,-0.022144522,0.140038492
26/02/1990,89.74,431,21.34,-0.378445768,0.027413588,-0.099198012
05/03/1990,73.6,436.799988,20.299999,-0.179852908,0.013457049,-0.048734817
12/03/1990,72.75,442.200012,17.620001,-0.011548913,0.012362693,-0.132019612
19/03/1990,58.97,437.299988,20.459999,-0.189415808,-0.011081013,0.161180354
26/03/1990,71.83,435.5,19.73,0.218076988,-0.00411614,-0.035679327
02/04/1990,69.27,430.899994,21.76,-0.035639705,-0.010562586,0.102889002
09/04/1990,68.68,436.299988,19.799999,-0.008517396,0.012531896,-0.090073575
16/04/1990,114.82,425.799988,23.33,0.671811299,-0.02406601,0.178282888
23/04/1990,68.09,418,22.190001,-0.406984846,-0.018318432,-0.048864081
30/04/1990,71.5,428.600006,17.280001,0.050080775,0.025358866,-0.221270833
07/05/1990,71.19,438.100006,19.809999,-0.004335664,0.022165189,0.146411913
14/05/1990,113.1,448.299988,17.200001,0.588706279,0.023282314,-0.131751546
21/05/1990,70.37,453.700012,17.32,-0.37780725,0.012045559,0.006976686
28/05/1990,69.46,462.100006,17.09,-0.012931647,0.018514423,-0.013279446
04/06/1990,194.78,460.899994,17.58,1.804203858,-0.002596866,0.028671738
11/06/1990,141.39,467.600006,15.9,-0.274104117,0.014536802,-0.09556314
18/06/1990,71.6,459.299988,19.360001,-0.493599264,-0.017750252,0.217610126
25/06/1990,70.43,462.299988,15.5,-0.016340782,0.006531679,-0.199380207
