DATE,USEPUINDXD
1985-01-06,206.51000
1985-01-13,47.02000
1985-01-20,236.06000
1985-01-27,396.97000
1985-02-03,265.21000
1985-02-10,221.11000
1985-02-17,313.19000
1985-02-24,309.42000
1985-03-03,176.13000
1985-03-10,129.10000
1985-03-17,221.39000
1985-03-24,128.94000
1985-03-31,349.85000
1985-04-07,118.25000
1985-04-14,66.67000
1985-04-21,220.80000
1985-04-28,217.68000
1985-05-05,107.55000
1985-05-12,148.21000
1985-05-19,74.24000
1985-05-26,141.23000
1985-06-02,291.38000
1985-06-09,175.51000
1985-06-16,102.71000
1985-06-23,256.41000
1985-06-30,147.89000
1985-07-07,387.90000
1985-07-14,363.06000
1985-07-21,181.34000
1985-07-28,240.93000
1985-08-04,101.82000
1985-08-11,137.45000
1985-08-18,34.34000
1985-08-25,66.13000
1985-09-01,33.24000
1985-09-08,64.35000
1985-09-15,239.81000
1985-09-22,93.51000
1985-09-29,126.25000
1985-10-06,118.90000
1985-10-13,261.39000
1985-10-20,115.00000
1985-10-27,113.79000
1985-11-03,182.17000
1985-11-10,212.06000
1985-11-17,284.53000
1985-11-24,127.79000
1985-12-01,192.88000
1985-12-08,259.32000
1985-12-15,267.42000
1985-12-22,141.84000
1985-12-29,183.12000
1986-01-05,298.08000
1986-01-12,288.56000
1986-01-19,162.84000
1986-01-26,349.85000
1986-02-02,318.40000
1986-02-09,348.08000
1986-02-16,370.22000
1986-02-23,348.44000
1986-03-02,217.22000
1986-03-09,209.51000
1986-03-16,86.07000
1986-03-23,174.96000
1986-03-30,138.33000
1986-04-06,208.11000
1986-04-13,106.96000
1986-04-20,173.45000
1986-04-27,148.78000
1986-05-04,314.97000
1986-05-11,105.36000
1986-05-18,308.95000
1986-05-25,133.50000
1986-06-01,131.17000
1986-06-08,110.48000
1986-06-15,157.66000
1986-06-22,243.79000
1986-06-29,204.82000
1986-07-06,219.68000
1986-07-13,187.08000
1986-07-20,229.77000
1986-07-27,435.00000
1986-08-03,128.54000
