Date,Open,High,Low,Close,Adj Close,Volume,total_chg,pos_chg,neg_chg,abs_neg_chg,ema_pos,ema_neg,smoothing_dactor,RS,
03/01/2022,0.312121,0.318868,0.298558,0.3065,0.3065,96846219,0,0,0,0,,,14,,
04/01/2022,0.306505,0.336852,0.30384,0.325898,0.325898,252170782,0.019398,0.019398,0,0,,,0.133333333,,
05/01/2022,0.325748,0.339621,0.272767,0.288261,0.288261,229076508,-0.037637,0,-0.037637,0.037637,,,,,
06/01/2022,0.28816,0.298847,0.272523,0.294404,0.294404,166279993,0.006143,0.006143,0,0,,,,,
07/01/2022,0.29427,0.298802,0.267786,0.272412,0.272412,188832915,-0.021992,0,-0.021992,0.021992,,,,,
08/01/2022,0.272565,0.27758,0.254484,0.2655,0.2655,122143875,-0.006912,0,-0.006912,0.006912,,,,,
09/01/2022,0.265373,0.276216,0.263358,0.272505,0.272505,77015275,0.007005,0.007005,0,0,,,,,
10/01/2022,0.272333,0.275003,0.25081,0.26099,0.26099,103366887,-0.011515,0,-0.011515,0.011515,,,,,
11/01/2022,0.260947,0.274852,0.257707,0.274771,0.274771,96392259,0.013781,0.013781,0,0,,,,,
12/01/2022,0.275079,0.297981,0.273518,0.295694,0.295694,114994147,0.020923,0.020923,0,0,,,,,
13/01/2022,0.295711,0.296724,0.277215,0.277637,0.277637,107201065,-0.018057,0,-0.018057,0.018057,,,,,
14/01/2022,0.2777,0.285122,0.274626,0.281215,0.281215,78936017,0.003578,0.003578,0,0,,,,,
15/01/2022,0.281262,0.284245,0.278062,0.280237,0.280237,56346126,-0.000978,0,-0.000978,0.000978,,,,,
16/01/2022,0.280281,0.282228,0.275269,0.27933,0.27933,57174918,-0.000907,0,-0.000907,0.000907,0.005059143,0.097998,,0.05162496,4.909065706
17/01/2022,0.27935,0.283307,0.266402,0.270215,0.270215,84091906,-0.009115,0,-0.009115,0.009115,0.00438459,0.086146933,,0.050896652,4.843164338
18/01/2022,0.270202,0.271908,0.25547,0.26624,0.26624,75225967,-0.003975,0,-0.003975,0.003975,0.003799978,0.075190676,,0.050537894,4.810668379
19/01/2022,0.266235,0.272006,0.253391,0.267214,0.267214,84296029,0.000974,0.000974,0,0,0.003423181,0.065165252,,0.052530776,4.990901701
20/01/2022,0.267227,0.281695,0.259836,0.259955,0.259955,105886922,-0.007259,0,-0.007259,0.007259,0.002966757,0.057444419,,0.051645698,4.910940877
21/01/2022,0.260192,0.267798,0.231414,0.234354,0.234354,162491561,-0.025601,0,-0.025601,0.025601,0.00257119,0.053198629,,0.048331875,4.610360145
22/01/2022,0.23467,0.239063,0.20458,0.220937,0.220937,148975709,-0.013417,0,-0.013417,0.013417,0.002228364,0.047894412,,0.046526602,4.445811659
23/01/2022,0.221293,0.233238,0.214253,0.222223,0.222223,99935594,0.001286,0.001286,0,0,0.002102716,0.041508491,,0.050657483,4.821503129
24/01/2022,0.222283,0.222455,0.187414,0.206753,0.206753,148407675,-0.01547,0,-0.01547,0.01547,0.001822354,0.038036692,,0.047910412,4.571995051
25/01/2022,0.206722,0.216419,0.198176,0.211686,0.211686,88407832,0.004933,0.004933,0,0,0.002237106,0.032965133,,0.067862807,6.355011729
26/01/2022,0.21169,0.222566,0.206234,0.21232,0.21232,97959421,0.000634,0.000634,0,0,0.002023359,0.028569782,,0.070821644,6.613766561
27/01/2022,0.212298,0.216229,0.201289,0.208143,0.208143,76522478,-0.004177,0,-0.004177,0.004177,0.001753578,0.025317411,,0.069263707,6.477701082
28/01/2022,0.208098,0.217822,0.205341,0.216193,0.216193,50592426,0.00805,0.00805,0,0,0.002593101,0.021941756,,0.118181092,10.56904759
29/01/2022,0.216134,0.224632,0.215214,0.221884,0.221884,52816215,0.005691,0.005691,0,0,0.003006154,0.019016189,,0.158083935,13.65047303
30/01/2022,0.22203,0.227311,0.215152,0.218398,0.218398,44964632,-0.003486,0,-0.003486,0.003486,0.002605333,0.016945497,,0.153747833,13.32594769
31/01/2022,0.21846,0.222918,0.208811,0.221887,0.221887,54121809,0.003489,0.003489,0,0,0.002723156,0.014686097,,0.185424049,15.64200165
01/02/2022,0.221876,0.233827,0.221394,0.229315,0.229315,61342663,0.007428,0.007428,0,0,0.003350468,0.012727951,,0.263237046,20.8382937
02/02/2022,0.229303,0.233883,0.220719,0.22135,0.22135,51502562,-0.007965,0,-0.007965,0.007965,0.002903739,0.012092891,,0.240119518,19.36261096
03/02/2022,0.221148,0.24602,0.215663,0.236876,0.236876,168730764,0.015526,0.015526,0,0,0.004586707,0.010480505,,0.437641799,30.44164405
04/02/2022,0.236844,0.248447,0.235951,0.248163,0.248163,114956380,0.011287,0.011287,0,0,0.00548008,0.009083105,,0.603326704,37.62967975
05/02/2022,0.24821,0.262426,0.247815,0.258825,0.258825,84933219,0.010662,0.010662,0,0,0.006171002,0.007872024,,0.783915584,43.94353583
06/02/2022,0.258723,0.260937,0.250869,0.258038,0.258038,61045797,-0.000787,0,-0.000787,0.000787,0.005348202,0.006927354,,0.772041082,43.56789975
07/02/2022,0.258002,0.268926,0.252811,0.261858,0.261858,107669774,0.00382,0.00382,0,0,0.005144442,0.006003707,,0.856877557,46.14615293
08/02/2022,0.261944,0.264498,0.242682,0.254038,0.254038,114383588,-0.00782,0,-0.00782,0.00782,0.004458516,0.006245879,,0.713833221,41.65126526
