DATE,USEPUINDXD
1985-01-07,593.28000
1985-01-14,140.99000
1985-01-21,140.79000
1985-01-28,392.25000
1985-02-04,198.40000
1985-02-11,68.65000
1985-02-18,427.95000
1985-02-25,203.24000
1985-03-04,67.22000
1985-03-11,315.81000
1985-03-18,186.39000
1985-03-25,264.36000
1985-04-01,54.95000
1985-04-08,175.05000
1985-04-15,54.45000
1985-04-22,166.80000
1985-04-29,114.11000
1985-05-06,56.71000
1985-05-13,56.93000
1985-05-20,446.98000
1985-05-27,371.61000
1985-06-03,321.24000
1985-06-10,210.97000
1985-06-17,207.66000
1985-06-24,209.79000
1985-07-01,149.84000
1985-07-08,54.39000
1985-07-15,52.07000
1985-07-22,101.52000
1985-07-29,146.49000
1985-08-05,250.21000
1985-08-12,198.62000
1985-08-19,186.70000
1985-08-26,191.13000
1985-09-02,123.96000
1985-09-09,199.68000
1985-09-16,49.42000
1985-09-23,199.68000
1985-09-30,99.99000
1985-10-07,237.92000
1985-10-14,95.74000
1985-10-21,45.78000
1985-10-28,84.58000
1985-11-04,40.03000
1985-11-11,126.66000
1985-11-18,161.25000
1985-11-25,79.53000
1985-12-02,167.91000
1985-12-09,197.15000
1985-12-16,204.21000
1985-12-23,83.92000
1985-12-30,42.98000
1986-01-06,114.81000
1986-01-13,72.61000
1986-01-20,77.73000
1986-01-27,173.90000
1986-02-03,292.62000
1986-02-10,74.54000
1986-02-17,78.77000
1986-02-24,182.11000
1986-03-03,141.33000
1986-03-10,103.67000
1986-03-17,276.19000
1986-03-24,68.43000
1986-03-31,252.00000
1986-04-07,103.74000
1986-04-14,207.56000
1986-04-21,106.95000
1986-04-28,282.75000
1986-05-05,244.62000
1986-05-12,70.42000
1986-05-19,100.76000
1986-05-26,269.15000
1986-06-02,104.59000
1986-06-09,272.70000
1986-06-16,137.49000
1986-06-23,176.23000
1986-06-30,136.40000
1986-07-07,107.89000
1986-07-14,352.46000
1986-07-21,275.26000
1986-07-28,103.05000
1986-08-04,68.02000
1986-08-11,273.70000
1986-08-18,345.35000
1986-08-25,171.52000
1986-09-01,352.40000
1986-09-08,129.47000
1986-09-15,195.38000
1986-09-22,65.84000
1986-09-29,130.54000
1986-10-06,98.22000
1986-10-13,64.76000
1986-10-20,288.04000
1986-10-27,95.42000
1986-11-03,218.91000
1986-11-10,127.30000
1986-11-17,93.85000
1986-11-24,90.48000
1986-12-01,64.80000
1986-12-08,123.44000
1986-12-15,94.86000
1986-12-22,84.89000
1986-12-29,190.54000
1987-01-05,96.01000
1987-01-12,120.01000
1987-01-19,152.64000
1987-01-26,152.01000
1987-02-02,114.55000
1987-02-09,116.53000
1987-02-16,31.63000
1987-02-23,144.32000
1987-03-02,28.17000
1987-03-09,28.42000
1987-03-16,139.42000
1987-03-23,144.40000
1987-03-30,140.14000
1987-04-06,55.15000
1987-04-13,27.93000
1987-04-20,120.75000
1987-04-27,135.91000
1987-05-04,112.05000
1987-05-11,113.29000
1987-05-18,26.92000
1987-05-25,36.05000
1987-06-01,140.79000
1987-06-08,111.50000
1987-06-15,55.87000
1987-06-22,112.70000
1987-06-29,84.96000
1987-07-06,113.41000
1987-07-13,177.22000
1987-07-20,25.70000
1987-07-27,128.91000
1987-08-03,26.30000
1987-08-10,50.57000
1987-08-17,78.83000
1987-08-24,26.78000
1987-08-31,134.13000
1987-09-07,105.02000
1987-09-14,96.46000
1987-09-21,47.52000
1987-09-28,151.68000
1987-10-05,72.23000
1987-10-12,95.14000
1987-10-19,173.50000
1987-10-26,259.96000
1987-11-02,273.77000
1987-11-09,177.18000
1987-11-16,124.71000
1987-11-23,118.44000
1987-11-30,151.01000
1987-12-07,169.77000
1987-12-14,149.62000
1987-12-21,169.89000
1987-12-28,333.74000
1988-01-04,306.99000
1988-01-11,241.44000
1988-01-18,142.39000
1988-01-25,71.51000
1988-02-01,175.52000
1988-02-08,272.61000
1988-02-15,73.14000
1988-02-22,22.10000
1988-02-29,64.73000
1988-03-07,223.61000
1988-03-14,90.15000
1988-03-21,45.17000
1988-03-28,67.94000
1988-04-04,109.42000
1988-04-11,65.68000
1988-04-18,132.95000
1988-04-25,104.16000
1988-05-02,105.57000
1988-05-09,248.52000
1988-05-16,109.68000
1988-05-23,87.18000
1988-05-30,88.76000
1988-06-06,89.97000
1988-06-13,129.84000
1988-06-20,87.86000
1988-06-27,67.08000
1988-07-04,59.11000
1988-07-11,88.65000
1988-07-18,82.09000
1988-07-25,116.11000
1988-08-01,107.59000
1988-08-08,66.59000
1988-08-15,104.09000
1988-08-22,112.59000
1988-08-29,116.60000
1988-09-05,136.02000
1988-09-12,103.70000
1988-09-19,78.11000
1988-09-26,94.39000
1988-10-03,41.14000
1988-10-10,105.20000
1988-10-17,179.40000
1988-10-24,42.19000
1988-10-31,104.07000
1988-11-07,117.21000
1988-11-14,106.87000
1988-11-21,103.26000
1988-11-28,110.74000
1988-12-05,104.46000
1988-12-12,106.21000
1988-12-19,106.60000
1988-12-26,115.39000
1989-01-02,128.49000
1989-01-09,95.90000
1989-01-16,95.62000
1989-01-23,124.95000
1989-01-30,92.47000
1989-02-06,73.17000
1989-02-13,92.45000
1989-02-20,97.31000
1989-02-27,90.00000
1989-03-06,70.58000
1989-03-13,68.65000
1989-03-20,84.49000
1989-03-27,108.67000
1989-04-03,86.42000
1989-04-10,87.31000
1989-04-17,140.84000
1989-04-24,105.09000
1989-05-01,87.14000
1989-05-08,70.28000
1989-05-15,88.50000
1989-05-22,86.34000
1989-05-29,111.06000
1989-06-05,86.44000
1989-06-12,87.29000
1989-06-19,123.26000
1989-06-26,142.95000
1989-07-03,92.73000
1989-07-10,181.27000
1989-07-17,89.86000
1989-07-24,53.32000
1989-07-31,122.86000
1989-08-07,88.57000
1989-08-14,89.11000
1989-08-21,89.50000
1989-08-28,143.62000
1989-09-04,21.87000
1989-09-11,50.85000
1989-09-18,33.74000
1989-09-25,33.76000
1989-10-02,50.64000
1989-10-09,151.18000
1989-10-16,94.44000
1989-10-23,65.68000
1989-10-30,81.41000
1989-11-06,77.54000
1989-11-13,162.38000
1989-11-20,131.25000
1989-11-27,70.83000
1989-12-04,99.79000
1989-12-11,135.18000
1989-12-18,67.80000
1989-12-25,121.35000
1990-01-01,292.30000
1990-01-08,126.54000
1990-01-15,64.57000
1990-01-22,108.89000
1990-01-29,196.57000
1990-02-05,123.05000
1990-02-12,212.37000
1990-02-19,144.38000
1990-02-26,89.74000
1990-03-05,73.60000
1990-03-12,72.75000
1990-03-19,58.97000
1990-03-26,71.83000
1990-04-02,69.27000
1990-04-09,68.68000
1990-04-16,114.82000
1990-04-23,68.09000
1990-04-30,71.50000
1990-05-07,71.19000
1990-05-14,113.10000
1990-05-21,70.37000
1990-05-28,69.46000
1990-06-04,194.78000
1990-06-11,141.39000
1990-06-18,71.60000
1990-06-25,70.43000
1990-07-02,158.26000
1990-07-09,111.49000
1990-07-16,86.15000
1990-07-23,113.36000
1990-07-30,69.72000
1990-08-06,170.73000
1990-08-13,187.93000
1990-08-20,140.73000
1990-08-27,112.82000
1990-09-03,322.08000
1990-09-10,239.50000
1990-09-17,117.96000
1990-09-24,240.70000
1990-10-01,161.34000
1990-10-08,176.01000
1990-10-15,160.08000
1990-10-22,197.31000
1990-10-29,180.53000
1990-11-05,158.77000
1990-11-12,176.83000
1990-11-19,169.33000
1990-11-26,171.00000
1990-12-03,165.65000
1990-12-10,104.64000
1990-12-17,133.38000
1990-12-24,142.14000
1990-12-31,188.54000
1991-01-07,208.37000
1991-01-14,235.44000
1991-01-21,75.05000
1991-01-28,169.47000
1991-02-04,291.12000
1991-02-11,89.94000
1991-02-18,158.62000
1991-02-25,118.31000
1991-03-04,122.99000
1991-03-11,108.38000
1991-03-18,62.98000
1991-03-25,62.14000
1991-04-01,64.16000
1991-04-08,146.07000
1991-04-15,88.85000
1991-04-22,37.97000
1991-04-29,38.84000
1991-05-06,100.18000
1991-05-13,65.26000
1991-05-20,87.66000
1991-05-27,91.36000
1991-06-03,129.74000
1991-06-10,103.47000
1991-06-17,92.06000
1991-06-24,65.58000
1991-07-01,193.44000
1991-07-08,135.84000
1991-07-15,130.58000
1991-07-22,140.02000
1991-07-29,102.78000
1991-08-05,77.04000
1991-08-12,169.58000
1991-08-19,139.42000
1991-08-26,114.88000
1991-09-02,272.33000
1991-09-09,173.14000
1991-09-16,48.62000
1991-09-23,48.94000
1991-09-30,145.93000
1991-10-07,121.77000
1991-10-14,121.85000
1991-10-21,182.35000
1991-10-28,119.15000
1991-11-04,109.98000
1991-11-11,171.04000
1991-11-18,120.33000
1991-11-25,178.11000
1991-12-02,76.19000
1991-12-09,122.82000
1991-12-16,230.50000
1991-12-23,207.40000
1991-12-30,247.38000
1992-01-06,128.72000
1992-01-13,183.98000
1992-01-20,127.61000
1992-01-27,310.30000
1992-02-03,204.43000
1992-02-10,197.85000
1992-02-17,253.40000
1992-02-24,165.98000
1992-03-02,231.77000
1992-03-09,186.02000
1992-03-16,93.25000
1992-03-23,82.37000
1992-03-30,59.58000
1992-04-06,116.33000
1992-04-13,105.93000
1992-04-20,123.26000
1992-04-27,160.50000
1992-05-04,127.40000
1992-05-11,127.16000
1992-05-18,95.24000
1992-05-25,147.53000
1992-06-01,182.67000
1992-06-08,88.10000
1992-06-15,137.17000
1992-06-22,99.87000
1992-06-29,102.33000
1992-07-06,133.19000
1992-07-13,149.85000
1992-07-20,176.03000
1992-07-27,219.26000
1992-08-03,108.00000
1992-08-10,36.66000
1992-08-17,301.10000
1992-08-24,170.06000
1992-08-31,114.86000
1992-09-07,287.22000
1992-09-14,133.41000
1992-09-21,398.32000
1992-09-28,163.45000
1992-10-05,302.80000
1992-10-12,198.91000
1992-10-19,175.65000
1992-10-26,148.85000
1992-11-02,238.80000
1992-11-09,154.97000
1992-11-16,164.96000
1992-11-23,47.30000
1992-11-30,61.29000
1992-12-07,90.49000
1992-12-14,176.86000
1992-12-21,129.28000
1992-12-28,161.11000
1993-01-04,300.77000
1993-01-11,120.49000
1993-01-18,105.76000
1993-01-25,92.91000
1993-02-01,150.75000
1993-02-08,79.99000
1993-02-15,82.85000
1993-02-22,253.37000
1993-03-01,180.94000
1993-03-08,145.14000
1993-03-15,136.71000
1993-03-22,218.26000
1993-03-29,360.09000
1993-04-05,181.66000
1993-04-12,120.76000
1993-04-19,104.61000
1993-04-26,111.78000
1993-05-03,91.55000
1993-05-10,135.52000
1993-05-17,148.53000
1993-05-24,129.82000
1993-05-31,234.33000
1993-06-07,137.69000
1993-06-14,82.71000
1993-06-21,83.53000
1993-06-28,96.36000
1993-07-05,209.18000
1993-07-12,106.40000
1993-07-19,208.99000
1993-07-26,96.26000
1993-08-02,169.27000
1993-08-09,157.89000
1993-08-16,93.94000
1993-08-23,107.29000
1993-08-30,141.91000
1993-09-06,243.31000
1993-09-13,125.39000
