DATE,VIXCLS
1990-01-08,20.26
1990-01-15,26.34
1990-01-22,26.70
1990-01-29,26.44
1990-02-05,24.54
1990-02-12,24.38
1990-02-19,20.78
1990-02-26,23.56
1990-03-05,22.03
1990-03-12,20.07
1990-03-19,18.29
1990-03-26,19.59
1990-04-02,22.84
1990-04-09,22.30
1990-04-16,20.75
1990-04-23,24.16
1990-04-30,19.52
1990-05-07,17.65
1990-05-14,20.14
1990-05-21,16.72
1990-05-28,17.32
1990-06-04,18.39
1990-06-11,16.34
1990-06-18,17.71
1990-06-25,17.06
1990-07-02,16.26
1990-07-09,16.66
1990-07-16,16.75
1990-07-23,23.68
1990-07-30,21.16
1990-08-06,35.91
1990-08-13,25.74
1990-08-20,26.46
1990-08-27,29.63
1990-09-03,29.90
1990-09-10,29.34
1990-09-17,29.55
1990-09-24,30.56
1990-10-01,28.06
1990-10-08,28.04
1990-10-15,31.64
1990-10-22,27.27
1990-10-29,31.54
1990-11-05,29.85
1990-11-12,25.60
1990-11-19,20.95
1990-11-26,22.76
1990-12-03,22.29
1990-12-10,23.58
1990-12-17,24.85
1990-12-24,24.03
1990-12-31,26.38
1991-01-07,28.95
1991-01-14,36.20
1991-01-21,24.33
1991-01-28,23.05
1991-02-04,21.86
1991-02-11,22.56
1991-02-18,19.57
1991-02-25,22.86
1991-03-04,20.86
1991-03-11,20.88
1991-03-18,15.79
1991-03-25,16.76
1991-04-01,17.42
1991-04-08,17.41
1991-04-15,16.50
1991-04-22,16.78
1991-04-29,18.27
1991-05-06,17.92
1991-05-13,17.66
1991-05-20,17.10
1991-05-27,15.23
1991-06-03,16.87
1991-06-10,17.47
1991-06-17,15.50
1991-06-24,18.28
1991-07-01,18.64
1991-07-08,20.29
1991-07-15,17.78
1991-07-22,16.90
1991-07-29,15.67
1991-08-05,15.92
1991-08-12,15.26
1991-08-19,21.19
1991-08-26,14.81
1991-09-02,14.46
1991-09-09,17.73
1991-09-16,17.82
1991-09-23,16.38
1991-09-30,15.85
1991-10-07,18.58
1991-10-14,16.71
1991-10-21,16.66
1991-10-28,15.45
1991-11-04,16.35
1991-11-11,14.89
1991-11-18,18.28
1991-11-25,21.92
1991-12-02,20.18
1991-12-09,19.74
1991-12-16,17.62
1991-12-23,16.61
1991-12-30,17.63
1992-01-06,18.96
1992-01-13,18.01
1992-01-20,16.42
1992-01-27,16.67
1992-02-03,18.20
1992-02-10,18.56
1992-02-17,17.03
1992-02-24,17.13
1992-03-02,16.88
1992-03-09,19.68
1992-03-16,18.46
1992-03-23,16.73
1992-03-30,15.97
1992-04-06,16.72
1992-04-13,16.99
1992-04-20,15.93
1992-04-27,16.49
1992-05-04,16.92
1992-05-11,15.17
1992-05-18,14.62
1992-05-25,13.73
1992-06-01,14.43
1992-06-08,15.19
1992-06-15,14.76
1992-06-22,16.66
1992-06-29,13.21
1992-07-06,14.87
1992-07-13,14.01
1992-07-20,12.66
1992-07-27,13.90
1992-08-03,13.83
1992-08-10,14.51
1992-08-17,14.61
1992-08-24,16.19
1992-08-31,13.58
1992-09-07,12.98
1992-09-14,13.00
1992-09-21,13.45
1992-09-28,15.19
1992-10-05,20.01
1992-10-12,19.49
1992-10-19,17.31
1992-10-26,16.32
1992-11-02,16.67
1992-11-09,14.23
1992-11-16,14.86
1992-11-23,13.40
1992-11-30,13.01
1992-12-07,12.00
1992-12-14,12.66
1992-12-21,11.65
1992-12-28,12.22
1993-01-04,13.36
1993-01-11,12.86
1993-01-18,11.49
1993-01-25,11.38
1993-02-01,12.33
1993-02-08,13.22
1993-02-15,12.38
1993-02-22,14.70
1993-03-01,13.60
1993-03-08,16.22
1993-03-15,14.74
1993-03-22,13.66
1993-03-29,12.63
1993-04-05,14.12
1993-04-12,11.93
1993-04-19,12.06
1993-04-26,15.25
1993-05-03,12.90
1993-05-10,13.72
1993-05-17,14.13
1993-05-24,14.10
1993-05-31,13.47
1993-06-07,14.07
1993-06-14,12.33
1993-06-21,12.25
1993-06-28,11.11
1993-07-05,11.33
1993-07-12,10.85
1993-07-19,11.46
1993-07-26,11.32
1993-08-02,11.47
1993-08-09,12.39
1993-08-16,12.01
1993-08-23,12.15
1993-08-30,11.74
1993-09-06,11.16
1993-09-13,12.16
1993-09-20,14.60
1993-09-27,12.49
1993-10-04,12.85
1993-10-11,12.26
1993-10-18,11.33
1993-10-25,11.83
1993-11-01,11.78
1993-11-08,14.31
1993-11-15,14.46
1993-11-22,15.90
1993-11-29,14.12
1993-12-06,12.84
1993-12-13,10.98
1993-12-20,10.75
